Fecha;Pernoctaciones_Totales
2025-12;522493
2025-11;560063
2025-10;628123
2025-09;571732
2025-08;523211
2025-07;487984
2025-06;544084
2025-05;631726
2025-04;612328
2025-03;586827
2025-02;492180
2025-01;454623
2024-12;478434
2024-11;522971
2024-10;626361
2024-09;564404
2024-08;535444
2024-07;485184
2024-06;538175
2024-05;625837
2024-04;624582
2024-03;589765
2024-02;499202
2024-01;446202
2023-12;500066
2023-11;488858
2023-10;599211
2023-09;554960
2023-08;522750
2023-07;459618
2023-06;512525
2023-05;562068
2023-04;595597
2023-03;537924
2023-02;440838
2023-01;408994
2022-12;396756
2022-11;456113
2022-10;542213
2022-09;514112
2022-08;494167
2022-07;403393
2022-06;488732
2022-05;528744
2022-04;508478
2022-03;444249
2022-02;357150
2022-01;272681
2021-12;351936
2021-11;393387
2021-10;457081
2021-09;361599
2021-08;333813
2021-07;263865
2021-06;234715
2021-05;163903
2021-04;87603
2021-03;76440
2021-02;58469
2021-01;63840
2020-12;62371
2020-11;57748
2020-10;132970
2020-09;123463
2020-08;130841
2020-07;111779
2020-06;0
2020-05;0
2020-04;0
2020-03;199254
2020-02;437595
2020-01;404614
2019-12;429262
2019-11;467038
2019-10;559653
2019-09;530014
2019-08;516112
2019-07;449957
2019-06;496857
2019-05;559710
2019-04;550389
2019-03;521852
2019-02;411930
2019-01;394088
2018-12;419303
2018-11;458820
2018-10;536328
2018-09;511231
2018-08;472616
2018-07;428792
2018-06;478235
2018-05;523613
2018-04;504230
2018-03;453286
2018-02;384575
2018-01;356261
2017-12;392591
2017-11;427264
2017-10;520886
2017-09;480435
2017-08;466582
2017-07;395786
2017-06;450421
2017-05;499534
2017-04;501802
2017-03;417289
2017-02;344305
2017-01;329506
2016-12;356295
2016-11;380143
2016-10;507455
2016-09;478225
2016-08;436374
2016-07;379439
2016-06;427837
2016-05;473016
2016-04;461849
2016-03;437334
2016-02;354605
2016-01;303804
