indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
5783,72.5(22),6,40917,63,0,2,7.9,1022.5(28),0,1015.2,1011.6,15.8,33.6(04),19.2,8,0,9,18/12.8(22),2,16,70,0,6,10.6(15),214,159,2,0,1730,119.6,7,1,9,0,19.9,0,21.6,27.4,0,998.4(13),5,2016-10
5783,34.4(25),8,28017,72,0,2,6.6,1025.0(09),1,1016.4,1012.7,9.9,26.9(03),17.8,0,0,10,22/16.9(21),4,12,65,0,11,4.5(24),216,122,1,0,1169,105.3,11,3,9,0,14.7,0,14.7,19.5,0,998.4(22),8,2016-11
5783,19.2(14),3,25744,79,0,1,7.2,1033.0(23),2,1024.7,1020.9,8.4,21.6(09),13.6,0,0,13,07/16.1(18),4,15,75,0,7,3.6(31),230,120,0,0,999,64.8,7,0,11,0,13.6,0,13.0,17.5,0,1002.0(03),7,2016-12
5783,72.5(22/oct),53,627536,58,0,19,9.2,1033.0(23/dic),17,1017.5,1013.9,13.6,44.8(05/sep),24.9,127,0,158,32/24.2(14/feb),23,155,74,0,81,0.3(17/feb),246,131,3,2,23337,619.2,84,13,12,0,13.2,0,19.8,25.9,0,994.8(08/may),57,2016-13
5783,12.0(04),9,24667,81,0,6,5.3,1032.8(30),4,1024.2,1020.4,9.1,21.9(23),15.9,0,0,3,23/18.1(11),2,19,53,0,16,4.0(19),228,125,0,0,604,50.4,17,1,10,0,13.9,0,13.1,17.2,0,1003.7(05),9,2016-1
5783,9.4(26),7,30337,68,0,2,6.2,1029.2(01),3,1021.9,1018.1,8.1,22.8(21),15.4,0,0,6,32/24.2(14),0,16,57,0,6,0.3(17),314,106,0,0,1053,27.3,7,0,15,0,13.2,0,13.1,18.1,0,1000.9(27),4,2016-2
5783,8.3(18),3,54751,60,0,5,9.4,1026.5(01),1,1017.8,1014.1,6.7,25.0(29),11.5,0,0,12,99/16.1(07),0,16,78,0,9,3.4(09),215,94,0,2,1355,30.0,8,2,11,0,15.9,0,13.4,20.1,0,1004.4(21),5,2016-3
5783,16.4(04),8,56636,62,0,0,8.3,1019.5(21),2,1014.0,1010.4,11.2,27.7(26),15.7,0,0,9,22/17.5(16),3,13,63,0,11,5.7(01),244,122,0,0,1440,60.3,11,1,12,0,16.1,0,16.8,22.4,0,1000.8(04),7,2016-4
5783,27.8(08),8,70052,55,0,0,9.7,1018.6(01),4,1014.4,1010.8,14.1,32.3(20),17.5,8,0,10,22/16.9(09),7,13,68,0,11,11.0(14),283,126,0,0,1919,148.3,12,2,13,0,17.3,0,20.0,26.0,0,994.8(08),10,2016-5
5783,0.0(--),0,80701,38,0,0,13.1,1020.4(19),0,1015.0,1011.5,18.1,38.5(08),23.6,24,0,16,25/14.4(04),0,14,89,0,0,13.7(04),274,133,0,0,2906,0.0,0,0,13,0,26.6,0,26.0,33.9,0,1004.5(15),0,2016-6
5783,0.3(06),1,79084,38,0,0,12.8,1016.3(08),0,1014.4,1010.9,21.8,42.3(19),24.6,31,0,24,22/13.3(03),0,6,88,0,2,18.3(01),257,156,0,0,3531,0.4,2,2,12,0,31.1,0,29.8,37.7,0,1007.2(03),0,2016-7
5783,1.0(15),0,76768,38,0,1,12.5,1016.7(12),0,1015.3,1011.8,21.9,40.4(23),24.9,31,0,28,11/14.4(11),0,3,92,0,1,17.5(21),253,156,0,0,3718,1.0,1,1,13,0,32.8,0,29.8,37.7,0,1006.1(18),1,2016-8
5783,11.8(13),0,59862,45,0,0,10.9,1019.8(28),0,1016.9,1013.3,18.5,44.8(05),23.4,25,0,18,22/13.9(13),1,12,88,0,1,13.4(15),223,148,0,0,2913,11.8,1,0,10,0,25.5,0,26.1,33.7,0,1007.5(12),1,2016-9
