indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,evap
5783,5.9(19),2,47134,57,0,1,9.1,1022.7(31),2,1017.3,1013.6,14.0,35.5(07),19.8,12,0,13,21/16.1(19),0,16,81,0,2,8.9(24),220,137,0,1,7.7,4,2,10,0,19.0,0,20.8,27.6,0,1003.8(19),2,2019-10,
5783,28.6(21),8,26290,72,0,2,5.3,1022.4(09),1,1016.4,1012.7,10.3,27.9(01),18.6,0,0,4,25/20.0(22),2,18,52,0,13,1.3(16),299,122,0,1,62.0,14,0,13,0,11.8,0,14.8,19.2,0,993.8(22),7,2019-11,
5783,53.3(19),6,25037,75,0,3,6.1,1028.6(31),3,1020.4,1016.6,9.7,21.9(27),17.3,0,0,6,23/26.4(20),2,19,64,1,7,4.2(12),304,121,1,2,83.1,7,1,14,0,15.5,0,14.0,18.4,0,993.1(16),6,2019-12,
5783,53.3(19/dic),29,671005,,0,20,9.6,1030.5(05/ene),18,1017.4,1013.7,12.8,40.8(19/jul),25.1,133,0,165,23/26.4(20/dic),8,171,78,1,46,0.5(06/ene),280,126,1,9,265.4,50,8,13,0,11.8,0,19.4,26.1,0,993.1(16/dic),33,2019-13,
5783,21.0(31),3,31866,68,0,5,7.6,1030.5(05),1,1022.2,1018.4,4.2,21.2(26),12.9,0,0,15,22/15.3(31),1,13,77,0,5,0.5(06),241,88,0,2,28.4,4,0,10,0,13.1,0,10.6,17.0,0,1001.6(31),4,2019-1,1138
5783,0.2(01),1,36092,62,0,3,9.2,1027.2(23),1,1024.3,1020.5,6.0,24.6(26),9.6,0,0,16,99/19.7(01),0,11,85,0,2,1.4(03),231,94,0,0,0.3,1,0,10,0,14.4,0,13.3,20.4,0,996.3(01),0,2019-2,1510
5783,4.6(06),1,59575,56,0,3,9.9,1028.0(09),2,1021.5,1017.8,8.8,28.1(11),14.0,0,0,13,22/22.2(06),0,17,82,0,2,4.4(07),289,100,0,1,5.1,2,0,13,0,18.0,0,15.9,23.0,0,1005.8(31),1,2019-3,2541
5783,15.4(24),4,60319,63,0,2,9.0,1022.8(26),3,1013.9,1010.2,9.8,30.8(30),13.2,2,0,9,22/18.9(24),3,17,68,0,12,6.9(11),290,118,0,2,75.5,13,3,13,0,16.4,0,16.2,22.5,0,995.3(23),12,2019-4,1923
5783,0.0(--),1,83196,43,0,0,12.3,1017.2(30),4,1014.1,1010.5,14.9,36.5(28),18.0,19,0,18,99/16.1(16),0,12,86,0,0,11.4(18),306,123,0,0,0.0,1,0,15,0,23.0,0,22.9,30.9,0,1003.2(02),0,2019-5,3790
5783,0.0(--),0,89423,42,0,0,13.3,1016.8(15),0,1014.7,1011.1,16.4,37.6(02),21.6,22,0,17,23/15.0(09),0,13,91,0,0,12.5(15),319,134,0,0,0.0,0,0,15,0,26.6,0,24.0,31.5,0,1004.3(12),0,2019-6,3773
5783,0.0(--),1,78307,,0,0,11.8,1015.1(01),0,1013.3,1009.8,19.8,40.8(19),25.1,25,0,16,21/13.3(07),0,14,82,0,0,16.2(05),324,170,0,0,0.0,0,0,15,0,27.7,0,26.9,33.8,0,1004.6(19),0,2019-7,
5783,0.0(--),0,75325,39,0,0,12.4,1015.1(10),0,1014.3,1010.8,20.4,40.2(17),23.8,30,0,24,21/13.9(18),0,7,91,0,0,16.7(13),273,150,0,0,0.0,0,0,13,0,31.2,0,28.3,36.3,0,1006.2(06),0,2019-8,
5783,2.3(13),2,58441,49,0,1,9.6,1018.2(12),1,1016.3,1012.7,18.9,37.6(03),24.3,23,0,14,07/16.9(12),0,14,77,0,3,14.7(24),266,155,0,0,3.3,4,2,11,0,26.0,0,25.6,32.3,0,1007.5(01),1,2019-9,
