indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
5783,16.7(22),2,45113,53,0,3,8.9,1024.5(24),2,1018.2,1014.5,13.1,34.0(08),17.8,6,0,12,22/20.6(20),2,17,80,0,4,8.6(15),248,117,0,2,39.6,4,0,10,0,20.0,0,19.8,26.4,0,999.9(02),4,2020-10
5783,23.9(25),4,26513,77,0,4,,1024.9(19),0,1020.4,1016.4,12.4,29.2(02),17.0,0,0,8,28/14.4(25),3,18,,0,11,6.7(24),227,146,0,2,77.3,13,3,10,0,14.5,0,17.1,21.7,0,1002.0(27),7,2020-11
5783,7.6(19),4,22461,83,0,3,,1027.2(21),2,1018.9,1015.2,7.5,21.6(12),16.3,0,0,10,28/16.4(04),0,17,,0,10,0.7(31),253,120,0,2,22.5,9,0,11,0,12.3,0,11.9,16.2,0,997.8(04),4,2020-12
5783,23.9(25/nov),,,,0,24,,,,,,,,,,0,,,14,,,,73,,,,0,13,392.8,76,9,,,,0,,,0,,47,2020-13
5783,21.3(24),7,26406,77,0,6,5.9,1030.7(03),2,1025.8,1022.0,6.7,18.9(07),11.8,0,0,11,04/20.6(19),2,13,60,0,8,3.1(13),187,104,0,4,52.6,8,0,8,0,11.5,0,11.4,16.0,0,1008.5(21),6,2020-1
5783,0.6(29),3,39780,67,0,4,8.5,1030.6(10),0,1025.8,1022.1,10.0,25.5(04),12.9,0,0,10,05/11.7(23),0,16,78,0,2,6.6(27),219,121,0,3,0.7,2,0,9,0,17.5,0,16.0,21.9,0,1013.7(28),0,2020-2
5783,22.0(30),4,,63,0,3,8.1,1024.5(09),2,1017.1,1013.4,10.4,31.0(11),13.5,1,0,1,08/16.4(17),3,26,67,0,11,6.4(08),297,114,0,0,58.8,10,1,14,0,15.2,0,16.1,21.7,0,998.4(31),7,2020-3
5783,22.4(15),,51501,67,0,1,7.5,1020.1(07),2,1015.0,1011.4,12.8,25.9(23),15.9,0,0,,23/18.6(20),2,,57,0,11,8.5(03),249,136,0,0,72.4,12,1,12,0,17.1,0,17.7,22.6,0,1002.8(13),9,2020-4
5783,16.9(14),,76887,51,0,0,10.8,1020.3(01),,1015.3,1011.7,16.5,37.5(24),21.0,17,0,,,2,,76,,7,11.6(15),,141,0,0,54.3,8,1,13,0,17.3,0,23.2,29.9,0,1000.5(13),7,2020-5
5783,1.2(04),0,60037,,0,0,,,,,,,,,,0,17,,0,13,,,1,,,,0,0,1.2,1,0,17,,,0,,,0,,1,2020-6
5783,0.9(20),0,,,0,0,,,,,,22.8,43.2(20),26.0,31,0,25,,0,6,,,1,18.6(04),,163,0,0,0.9,1,1,,0,33.1,0,30.7,38.6,0,,0,2020-7
5783,0.8(09),0,78216,35,0,0,12.5,1016.8(22),0,1013.0,1009.5,21.1,42.6(01),25.3,31,0,24,28/13.9(28),0,7,93,0,2,17.6(30),267,132,0,0,1.0,2,1,13,0,30.2,0,28.9,36.6,0,1002.8(28),0,2020-8
5783,5.6(18),0,53395,46,0,0,,1020.3(25),1,1016.0,1012.4,19.3,38.0(12),23.4,22,0,11,22/18.9(18),0,19,,0,5,15.1(26),254,148,0,0,11.5,6,1,11,0,26.4,0,26.0,32.6,0,1006.7(01),2,2020-9
