indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,glo
5783,43.1(29),11,74,0,0,5.6,1022.4(18),4,1016.0,1012.4,15.2,31.7(01),20.5,6,0,2,13/19.7(30),7,18,49,0,15,8.7(26),285,170,4,0,224.2,17,1,12,0,15.6,0,19.8,24.4,0,1002.7(16),13,2024-10,
5783,9.7(13),5,,0,0,6.0,1025.0(30),0,1019.7,1016.3,,,,,0,6,23/13.3(25),0,19,59,0,7,,228,,0,0,16.7,9,0,10,,,0,,,0,1004.8(13),2,2024-11,
5783,3.4(12),1,69,0,1,7.3,1030.9(15),1,1026.2,1022.4,6.3,22.5(06),12.7,0,0,16,06/18.6(23),0,14,76,0,2,1.9(10),254,100,0,0,4.3,3,0,12,0,10.8,0,12.1,17.8,0,1011.6(11),1,2024-12,
5783,45.3(09/feb),45,,0,9,8.5,1034.5(22/ene),22,1017.0,1013.4,,,,,0,127,22/24.2(08/mar),17,194,69,0,69,,272,,6,3,580.3,89,6,12,,,0,,,0,989.8(09/feb),49,2024-13,
5783,11.0(16),6,82,0,2,6.1,1034.5(22),3,1023.2,1019.4,7.1,22.7(25),14.8,0,0,6,21/21.7(17),1,19,62,0,9,1.0(07),228,122,0,1,40.0,9,1,10,0,10.2,0,12.3,17.5,0,1000.4(19),7,2024-1,23487
5783,45.3(09),5,76,0,4,6.9,1031.2(18),5,1022.1,1018.3,8.2,23.4(14),14.4,0,0,8,22/22.2(08),2,16,63,0,8,3.1(28),274,123,2,2,103.2,10,0,11,0,12.3,0,13.6,18.9,0,989.8(09),6,2024-2,30009
5783,26.9(28),12,72,0,2,4.9,1022.6(05),9,1012.7,1009.0,9.4,27.4(17),14.9,0,0,1,22/24.2(08),7,18,41,0,13,4.6(02),334,125,0,0,165.3,14,1,14,0,14.4,0,14.8,20.0,0,990.5(30),12,2024-3,36465
5783,5.4(30),2,58,0,0,9.7,1026.5(12),0,1016.7,1013.0,10.8,31.4(16),15.5,2,0,6,23/14.4(29),0,22,73,0,5,6.3(01),248,128,0,0,8.9,10,0,11,0,19.2,0,17.9,24.9,0,999.6(27),3,2024-4,59505
5783,0.0(--),0,43,0,0,12.0,1018.2(03),0,1014.2,1010.6,12.6,39.0(30),18.6,15,0,14,31/14.4(01),0,17,85,0,0,5.4(02),263,117,0,0,0.0,2,0,13,0,20.9,0,21.1,29.6,0,1002.4(31),0,2024-5,73217
5783,8.5(19),2,50,0,0,10.2,1017.7(21),0,1013.6,1010.0,17.4,38.9(23),21.5,17,0,11,22/13.3(15),0,17,69,0,4,13.2(20),301,155,0,0,13.1,8,2,13,0,24.2,0,24.4,31.4,0,1002.6(25),2,2024-6,64400
5783,1.4(29),0,42,0,0,12.5,1015.4(01),0,1013.3,1009.8,19.9,42.2(24),24.9,30,0,23,23/14.4(06),0,8,87,0,2,14.7(08),286,165,0,0,2.4,3,1,13,0,29.2,0,28.4,36.7,0,1003.5(04),2,2024-7,76745
5783,0.0(--),0,48,0,0,11.9,1013.4(09),0,1012.3,1008.8,21.6,41.0(18),24.4,31,0,21,27/12.8(13),0,10,87,0,0,19.3(15),281,194,0,0,0.0,0,0,13,0,33.4,0,29.3,37.0,0,1004.4(06),0,2024-8,66167
5783,1.7(19),1,55,0,0,9.3,1018.3(29),0,1014.2,1010.6,17.4,36.2(16),23.1,18,0,13,23/15.0(26),0,16,75,0,4,11.5(28),279,162,0,0,2.2,4,0,14,0,26.5,0,24.0,30.7,0,1001.4(06),1,2024-9,
