AÑO;MES;PAIS_ORIGEN;CCAA;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA
2019;1;Alemania;Andalucía;Sevilla;86,94;77,11;95,74;87,37
2019;1;Dinamarca;Andalucía;Sevilla;86,95;75,19;100,0;100,0
2019;1;España;Andalucía;Sevilla;82,88;69,68;89,32;94,63
2019;1;Estados Unidos de América;Andalucía;Sevilla;88,43;73,13;100,0;100,0
2019;1;Francia;Andalucía;Sevilla;63,37;76,83;90,43;78,69
2019;1;Italia;Andalucía;Sevilla;86,67;73,9;96,35;90,96
2019;1;Noruega;Andalucía;Sevilla;100,0;73,13;100,0;100,0
2019;1;Portugal;Andalucía;Sevilla;68,83;72,94;100,0;62,8
2019;1;Reino Unido;Andalucía;Sevilla;87,37;74,62;94,78;87,64
2019;1;Suecia;Andalucía;Sevilla;79,99;68,12;100,0;100,0
2019;1;Total;Andalucía;Sevilla;82,64;71,45;94,2;90,57
2019;2;Alemania;Andalucía;Sevilla;76,49;79,11;97,01;68,86
2019;2;Dinamarca;Andalucía;Sevilla;92,93;75,0;100,0;100,0
2019;2;España;Andalucía;Sevilla;79,55;69,38;89,68;95,58
2019;2;Estados Unidos de América;Andalucía;Sevilla;83,37;71,55;100,0;100,0
2019;2;Francia;Andalucía;Sevilla;78,53;77,59;90,71;96,54
2019;2;Italia;Andalucía;Sevilla;98,44;80,34;97,05;82,43
2019;2;Noruega;Andalucía;Sevilla;82,78;76,14;100,0;100,0
2019;2;Portugal;Andalucía;Sevilla;72,63;76,6;100,0;100,0
2019;2;Reino Unido;Andalucía;Sevilla;93,99;72,96;96,34;94,54
2019;2;Suecia;Andalucía;Sevilla;88,76;71,05;100,0;100,0
2019;2;Total;Andalucía;Sevilla;84,15;71,36;94,1;91,31
2019;3;Alemania;Andalucía;Sevilla;81,77;76,55;90,61;90,67
2019;3;Dinamarca;Andalucía;Sevilla;80,73;74,39;100,0;100,0
2019;3;España;Andalucía;Sevilla;79,81;70,67;92,29;93,83
2019;3;Estados Unidos de América;Andalucía;Sevilla;91,8;76,32;100,0;100,0
2019;3;Francia;Andalucía;Sevilla;69,82;77,54;95,55;80,12
2019;3;Italia;Andalucía;Sevilla;96,18;79,2;97,19;91,64
2019;3;Noruega;Andalucía;Sevilla;100,0;83,51;100,0;100,0
2019;3;Portugal;Andalucía;Sevilla;77,05;73,03;100,0;100,0
2019;3;Reino Unido;Andalucía;Sevilla;92,77;71,21;94,13;86,25
2019;3;Suecia;Andalucía;Sevilla;76,23;84,33;100,0;100,0
2019;3;Total;Andalucía;Sevilla;83,88;72,14;94,79;91,01
2019;4;Alemania;Andalucía;Sevilla;74,51;79,87;91,73;81,53
2019;4;Dinamarca;Andalucía;Sevilla;76,29;74,23;100,0;100,0
2019;4;España;Andalucía;Sevilla;70,61;70,84;90,8;77,48
2019;4;Estados Unidos de América;Andalucía;Sevilla;92,1;73,13;100,0;100,0
2019;4;Francia;Andalucía;Sevilla;62,51;78,38;100,0;75,4
2019;4;Italia;Andalucía;Sevilla;79,54;73,21;96,19;79,17
2019;4;Noruega;Andalucía;Sevilla;89,22;70,67;100,0;100,0
2019;4;Portugal;Andalucía;Sevilla;67,64;79,41;93,23;89,92
2019;4;Reino Unido;Andalucía;Sevilla;84,27;71,53;97,84;79,11
2019;4;Suecia;Andalucía;Sevilla;72,22;65,8;100,0;100,0
2019;4;Total;Andalucía;Sevilla;74,25;71,08;94,28;77,18
2019;5;Alemania;Andalucía;Sevilla;76,74;80,1;100,0;86,89
2019;5;Dinamarca;Andalucía;Sevilla;80,71;65,85;100,0;100,0
2019;5;España;Andalucía;Sevilla;68,86;69,09;86,51;95,88
2019;5;Estados Unidos de América;Andalucía;Sevilla;77,22;65,8;100,0;100,0
2019;5;Francia;Andalucía;Sevilla;57,13;78,02;95,5;94,97
2019;5;Italia;Andalucía;Sevilla;76,74;76,49;94,83;88,44
2019;5;Noruega;Andalucía;Sevilla;88,12;87,53;100,0;100,0
2019;5;Portugal;Andalucía;Sevilla;67,0;75,54;94,01;82,14
2019;5;Reino Unido;Andalucía;Sevilla;85,51;77,64;93,77;92,26
2019;5;Suecia;Andalucía;Sevilla;74,09;65,85;100,0;100,0
2019;5;Total;Andalucía;Sevilla;74,8;72,92;93,99;92,99
2019;6;Alemania;Andalucía;Sevilla;79,05;78,33;100,0;86,11
2019;6;Dinamarca;Andalucía;Sevilla;97,74;78,91;100,0;100,0
2019;6;España;Andalucía;Sevilla;74,41;71,58;77,69;95,47
2019;6;Estados Unidos de América;Andalucía;Sevilla;90,21;89,41;100,0;100,0
2019;6;Francia;Andalucía;Sevilla;72,8;78,24;95,78;83,22
2019;6;Italia;Andalucía;Sevilla;92,92;76,47;98,27;94,83
2019;6;Noruega;Andalucía;Sevilla;73,66;78,47;100,0;100,0
2019;6;Portugal;Andalucía;Sevilla;79,89;80,41;100,0;100,0
2019;6;Reino Unido;Andalucía;Sevilla;90,54;80,26;76,39;87,21
2019;6;Suecia;Andalucía;Sevilla;75,25;73,62;100,0;100,0
2019;6;Total;Andalucía;Sevilla;82,28;71,73;91,74;92,99
2019;7;Alemania;Andalucía;Sevilla;92,83;75,19;93,96;91,01
