AÑO;MES;CATEGORIA_ALOJAMIENTO;CCAA;PROVINCIA;PERIODO_ANTELACION;PRECIO_CHECK-IN_ENTRE_SEMANA;PRECIO_CHECK-IN_FIN_SEMANA
2019;1;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;58,0;76,0
2019;1;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;82,0;99,0
2019;1;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;210,0;228,0
2019;1;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;59,0;
2019;1;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;85,0;
2019;1;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;197,0;
2019;1;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;58,0;81,0
2019;1;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;82,0;104,0
2019;1;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;201,0;235,0
2019;1;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;57,0;70,0
2019;1;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;82,0;93,0
2019;1;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;204,0;219,0
2019;2;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;63,0;95,0
2019;2;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;87,0;122,0
2019;2;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;202,0;225,0
2019;2;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;67,0;
2019;2;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;91,0;
2019;2;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;208,0;
2019;2;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;65,0;99,0
2019;2;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;90,0;126,0
2019;2;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;204,0;238,0
2019;2;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;62,0;81,0
2019;2;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;84,0;105,0
2019;2;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;207,0;230,0
2019;3;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;84,0;113,0
2019;3;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;112,0;133,0
2019;3;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;216,0;233,0
2019;3;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;89,0;
2019;3;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;117,0;
2019;3;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;232,0;
2019;3;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;88,0;126,0
2019;3;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;115,0;136,0
2019;3;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;225,0;269,0
2019;3;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;76,0;91,0
2019;3;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;100,0;117,0
2019;3;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;225,0;236,0
2019;4;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;129,0;166,0
2019;4;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;157,0;197,0
2019;4;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;287,0;315,0
2019;4;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;126,0;129,0
2019;4;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;160,0;150,0
2019;4;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;329,0;283,0
2019;4;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;132,0;169,0
2019;4;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;158,0;215,0
2019;4;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;282,0;327,0
2019;4;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;113,0;143,0
2019;4;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;147,0;181,0
2019;4;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;327,0;354,0
2019;5;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;126,0;175,0
2019;5;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;174,0;222,0
2019;5;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;310,0;351,0
2019;5;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;113,0;128,0
2019;5;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;154,0;165,0
2019;5;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;284,0;301,0
2019;5;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;128,0;167,0
2019;5;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;174,0;219,0
2019;5;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;270,0;378,0
2019;5;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;120,0;160,0
2019;5;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;158,0;203,0
2019;5;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;347,0;418,0
2019;6;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;96,0;122,0
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;132,0;157,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;262,0;266,0
2019;6;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;88,0;115,0
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;124,0;138,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;239,0;292,0
2019;6;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;90,0;129,0
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;124,0;152,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;244,0;314,0
2019;6;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;82,0;97,0
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;117,0;133,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;275,0;299,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;57,0;64,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;80,0;86,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;199,0;221,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;57,0;63,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;77,0;83,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;192,0;216,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;57,0;65,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;77,0;84,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;206,0;211,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;64,0;71,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;91,0;96,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;223,0;224,0
2019;8;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;55,0;63,0
2019;8;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;76,0;79,0
2019;8;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;185,0;189,0
2019;8;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;56,0;63,0
