fecha,total_pernoctaciones,hotel_3_estrellas,hotel_4_estrellas,hotel_5_estrellas,tm_max,tm_min,inso,dias_lluvia,holiday_count,holy_week,feria,gdp_Alemania,gdp_Francia,gdp_Reino Unido,paro_Alemania,paro_Francia,paro_Reino Unido,indice_percepcion_turistica_global_Alemania,indice_percepcion_turistica_global_Francia,indice_percepcion_turistica_global_Reino_Unido,viajeros_totales,grado_ocupacion,viajeros_nacionales,viajeros_internacionales,pernoctaciones_nacionales,pernoctaciones_internacionales,llegadas_aeropuerto_total,llegadas_aeropuerto_nacionales,llegadas_aeropuerto_internacionales,llegadas_aeropuerto_Francia,llegadas_aeropuerto_Reino_Unido,llegadas_aeropuerto_Alemania
2019-01,394088,57.666666666666664,82,205,17,4.2,7.6,4,2,0,0,275801.7109149934,195064.5914596588,233121.9643529828,3,8.8,3.8,86.94,63.37,87.37,184854,56.29,89098,95756,159133,234955,251173,121079,130094,23880,23495,11878
2019-02,411930,63.333333333333336,87,204.33333333333337,20.4,6,9.2,0,1,0,0,276227.6278625982,195645.1726316489,233513.30908544356,3,8.7,3.7,76.49,78.53,93.99,203132,63.6,104170,98962,179062,232868,262998,123341,139657,29131,25815,13955
2019-03,521852,82.66666666666667,109,222,23,8.8,9.9,1,2,0,0,276325.6612224081,196117.73590869212,233644.12656157365,3,8.7,3.7,81.77,69.82,92.77,243117,72.88,114964,128153,209980,311872,323098,159260,163838,33660,30369,16106
2019-04,550389,125,155.5,306.25,22.5,9.8,9,12,2,1,0,276095.81099442305,196482.28129078844,233514.4167813731,2.9,8.5,3.7,74.51,62.51,84.27,249896,78.27,96640,153256,185657,364732,350856,164372,186484,42284,29761,19249
2019-05,559710,121.75,165,302.75,30.9,14.9,12.3,0,2,0,1,276174.34019160934,196703.63166822115,233658.3017502931,2.9,8.5,3.8,76.74,57.13,85.51,266897,77.47,106410,160487,198503,361207,339706,162790,176916,41342,29803,18945
2019-06,496857,89,124.25,255,31.5,16.4,13.3,0,0,0,0,276561.2488139674,196781.78704099025,234075.78146833376,2.9,8.5,3.8,79.05,72.8,90.54,240065,71.25,95766,144299,167272,329585,327641,158411,169230,39961,29156,18212
2019-07,449957,58.75,81.25,205,33.8,19.8,11.8,0,0,0,0,277256.53686149686,196716.74740909573,234766.85593549497,2.9,8.4,3.8,92.83,86.66,95.15,212218,63.57,80486,131732,140011,309946,323976,162938,161038,34512,31265,17672
2019-08,516112,59,80.25,197.75,36.3,20.4,12.4,0,1,0,0,277489.7812272564,196648.8519443003,235048.40760066395,2.9,8.3,3.8,89.54,84.62,97.59,249797,72.66,88619,161178,156570,359542,314127,157009,157118,33035,30573,18237
2019-09,530014,106,143.25,292.75,32.3,18.9,9.6,1,0,0,0,277260.98191124643,196578.10064660385,234920.43646384092,2.9,8.2,3.7,80.75,75.34,92.19,258415,74.53,93982,164433,163573,366441,341079,166340,174739,39263,29368,19906
2019-10,559653,106.25,145,305.5,27.6,14,9.1,2,1,0,0,276570.1389134663,196504.49351600633,234382.9425250256,2.9,8.2,3.7,68.84,63.6,92.54,270069,75.83,96708,173361,175229,384424,344819,165272,179547,41304,30011,20348
2019-11,467038,74.25,102,234.25,19.2,10.3,5.3,7,1,0,0,276276.9239789215,195849.47159635217,234675.7121465527,3,8.2,3.7,71.07,69.93,85.6,222390,65.46,107357,115033,194540,272498,291543,146769,144774,30189,26792,12057
