indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
5783,28.0(20),6,35019,57,0,2,7.0,1020.7(01),0,1017.9,1014.2,16.5,33.1(04),20.1,15,0,8,07/12.8(02),1,17,61,0,7,12.4(01),226,153,0,1,30.7,7,0,10,0,22.2,0,22.8,29.1,0,1008.1(16),1,2022-10
5783,7.7(15),7,23839,70,0,2,5.8,1025.1(20),0,1020.6,1016.9,11.3,26.0(01),17.3,0,0,9,23/13.9(15),0,14,58,0,7,3.1(30),246,134,0,0,21.4,9,0,11,0,17.6,0,16.5,21.7,0,1010.4(17),4,2022-11
5783,23.0(08),8,15950,86,0,13,4.5,1027.6(22),6,1016.9,1013.2,9.9,21.5(11),16.2,0,0,5,22/21.1(11),6,18,47,0,18,4.1(03),243,141,0,4,133.5,15,4,11,0,15.2,0,14.1,18.2,0,995.8(09),13,2022-12
5783,28.0(20/oct),47,540443,57,0,26,8.7,1030.1(17/ene),15,1017.2,1013.6,13.6,44.8(13/jul),28.1,142,0,138,22/21.1(11/dic),14,180,70,0,73,1.1(09/ene),260,133,0,10,363.2,77,10,12,0,11.7,0,20.1,26.6,0,995.8(09/dic),47,2022-13
5783,0.4(24),1,24902,65,0,1,7.9,1030.1(17),0,1025.9,1022.1,5.8,21.8(31),9.8,0,0,15,35/13.3(04),0,15,80,0,2,1.1(09),297,89,0,1,0.5,3,0,13,0,15.1,0,11.5,17.2,0,1013.8(06),0,2022-1
5783,1.3(26),4,28317,60,0,2,7.9,1028.5(16),0,1023.9,1020.2,7.2,25.4(22),11.9,0,0,12,05/13.3(22),0,12,73,0,4,3.1(15),211,96,0,1,2.1,5,0,9,0,15.5,0,13.8,20.4,0,1012.1(26),1,2022-2
5783,21.7(23),12,30286,71,0,3,4.9,1024.5(01),1,1015.6,1011.9,9.6,22.0(02),13.2,0,0,1,07/16.4(15),4,18,42,0,17,4.3(06),275,116,0,2,97.6,17,1,13,0,13.5,0,14.1,18.6,0,999.7(14),13,2022-3
5783,25.9(22),4,47807,62,0,2,8.7,1021.6(07),3,1014.4,1010.8,9.7,30.1(17),12.7,1,0,7,21/20.0(22),3,19,66,0,9,6.7(07),283,117,0,1,63.4,9,0,12,0,11.7,0,15.9,22.0,0,996.6(22),8,2022-4
5783,3.6(03),2,69982,46,0,1,11.1,1019.0(05),1,1015.8,1012.2,15.0,41.0(20),19.8,21,0,12,22/15.3(02),0,17,78,0,3,10.6(02),246,133,0,0,6.4,4,2,11,0,22.7,0,23.2,31.2,0,1005.4(23),3,2022-5
5783,0.0(--),1,70546,40,0,0,12.2,1018.0(05),0,1014.6,1011.1,17.9,42.6(12),23.3,23,0,14,22/13.3(15),0,15,83,0,0,14.3(04),279,137,0,0,0.0,0,0,13,0,27.2,0,26.1,34.2,0,1006.5(26),0,2022-6
5783,0.0(--),0,72928,31,0,0,12.5,1016.9(06),1,1014.4,1011.0,21.8,44.8(13),28.1,31,0,22,21/15.3(26),0,9,86,0,0,15.5(01),269,137,0,0,0.0,0,0,12,0,30.1,0,30.6,39.4,0,1005.0(11),0,2022-7
5783,1.4(13),1,66163,46,0,0,11.4,1015.8(30),1,1012.8,1009.3,20.7,40.3(02),23.9,31,0,21,27/17.5(13),0,9,84,0,2,17.7(18),271,177,0,0,1.7,2,2,13,0,30.9,0,28.1,35.5,0,1003.6(27),1,2022-8
5783,2.2(12),1,54704,52,0,0,10.2,1017.8(05),2,1014.0,1010.4,18.0,37.9(11),21.8,20,0,12,22/15.3(12),0,17,82,0,4,13.1(29),276,160,0,0,5.9,6,1,13,0,25.7,0,24.9,31.6,0,1002.3(12),3,2022-9
