indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,glo
5783,37.2(19),6,62,0,3,6.9,1021.0(04),4,1015.1,1011.5,16.0,37.4(06),19.9,12,0,5,17/28.9(22),4,20,61,1,9,10.6(24),276,154,1,0,111.1,11,0,12,0,17.0,0,22.0,28.0,0,983.9(22),9,2023-10,
5783,32.8(30),5,73,0,3,7.1,1023.8(07),3,1019.8,1016.1,10.2,27.1(15),16.1,0,0,12,24/21.1(02),1,13,69,0,10,3.2(26),212,132,1,1,43.0,9,0,10,0,15.4,0,15.7,21.1,0,999.5(30),4,2023-11,26132
5783,4.0(04),6,,0,6,6.5,1032.7(18),,1024.5,1020.7,,,,,0,15,,0,10,68,,8,,,107,0,0,10.9,9,0,9,,,0,,,1,997.6(01),3,2023-12,21999
5783,37.2(19/oct),38,,0,20,9.2,1032.7(18/dic),,1017.5,1013.9,,,,,0,162,,11,165,75,,61,,,125,2,6,324.8,63,6,12,,,0,,,1,983.9(22/oct),39,2023-13,
5783,6.0(01),3,74,0,3,6.9,1029.7(04),2,1024.5,1020.7,5.2,19.4(09),14.9,0,0,15,27/18.1(17),0,13,70,0,9,-0.8(26),256,99,0,2,18.6,6,1,11,3,11.8,0,10.4,15.6,0,1007.0(17),5,2023-1,23413
5783,3.1(08),4,56,0,0,7.7,1028.9(03),2,1022.0,1018.2,6.0,22.4(19),13.3,0,0,10,12/18.1(10),0,14,71,0,1,0.2(02),300,81,0,0,3.1,2,0,14,0,13.4,0,12.2,18.3,0,1004.1(25),1,2023-2,29983
5783,3.3(06),3,57,0,5,9.0,1023.3(30),0,1019.1,1015.4,8.6,29.8(30),14.4,0,0,7,27/13.3(13),0,21,75,0,7,0.1(03),223,105,0,3,9.0,6,0,10,0,15.5,0,16.0,23.5,0,1006.4(16),3,2023-3,47326
5783,2.0(21),1,37,0,0,10.9,1022.4(01),0,1015.0,1011.4,12.4,36.9(27),19.1,16,0,16,07/14.4(16),0,13,83,0,1,7.3(07),270,91,0,0,2.0,3,0,12,0,23.5,0,21.0,29.5,0,1001.9(18),1,2023-4,62305
5783,15.6(28),7,46,0,0,9.6,1018.0(08),4,1014.5,1010.9,15.1,35.9(09),17.6,12,0,9,35/18.1(18),3,15,68,0,6,12.4(19),271,119,0,0,56.2,7,4,14,0,20.7,0,22.0,28.9,0,1005.1(21),5,2023-5,66105
5783,16.1(07),2,47,0,0,10.8,1015.8(23),0,1012.8,1009.3,19.4,42.0(26),23.0,21,0,12,04/13.3(02),2,16,74,0,4,16.2(02),281,158,0,0,30.0,4,1,13,0,22.8,0,26.3,33.2,0,1003.3(06),3,2023-6,70127
5783,0.0(--),0,36,0,0,13.0,1015.5(09),0,1014.2,1010.7,21.2,41.7(12),25.3,31,0,25,21/12.8(20),0,6,90,0,0,17.8(28),293,148,0,0,0.0,0,0,13,0,31.0,0,29.4,37.6,0,1006.0(06),0,2023-7,77464
5783,0.0(--),0,31,0,0,12.1,1016.2(28),2,1013.7,1010.2,21.0,43.7(11),24.5,31,0,25,10/16.4(22),0,6,89,0,0,17.6(04),262,132,0,0,0.0,0,0,12,0,32.3,0,29.9,38.8,0,1005.2(29),0,2023-8,67864
5783,21.4(02),1,57,0,0,9.4,1018.2(30),1,1015.0,1011.5,17.9,37.1(29),21.5,17,0,11,24/15.3(15),1,18,76,0,6,13.0(23),248,168,0,0,40.9,6,0,11,0,22.2,0,24.0,30.1,0,1003.7(03),5,2023-9,49889
