indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
5783,70.7(29),2,63,0,0,8.3,1018.9(07),1,1016.8,1013.2,16.9,34.6(03),19.8,20,0,12,99/16.9(29),3,17,73,0,4,14.6(31),223,176,2,0,132.2,6,1,9,0,20.5,0,23.4,29.9,0,1001.8(29),4,2025-10
5783,26.8(15),3,73,0,2,,1026.0(22),4,1018.3,1014.6,10.1,26.2(04),15.7,0,0,9,24/21.1(14),4,18,,0,11,5.2(29),232,128,0,1,95.2,11,1,11,0,16.2,0,15.5,20.9,0,1002.9(13),7,2025-11
5783,41.7(15),6,82,0,7,,1023.2(06),1,1017.4,1013.7,7.3,21.2(13),12.2,0,0,3,27/15.3(15),4,22,,0,14,2.2(22),194,118,1,3,112.3,17,1,8,0,11.7,0,12.0,16.6,0,1000.8(16),11,2025-12
5783,70.7(29/oct),39,62,0,19,,1030.0(05/feb),23,1016.5,1012.9,13.9,44.9(17/ago),27.6,150,0,137,24/21.1(14/nov),27,189,,0,94,0.7(16/ene),253,148,5,9,797.8,101,11,12,0,11.7,0,20.4,26.9,0,991.4(13/mar),65,2025-13
5783,55.3(20),5,77,0,6,,1027.6(11),4,1023.0,1019.2,7.0,20.1(22),13.8,0,0,9,22/18.9(22),3,17,,0,15,0.7(16),273,114,1,3,130.6,13,1,12,0,13.3,0,12.1,17.2,0,1005.2(06),11,2025-1
5783,5.1(21),3,75,0,2,,1030.0(05),1,1022.0,1018.2,6.9,22.9(20),10.5,0,0,5,22/15.3(11),0,20,,0,7,4.1(07),195,113,0,2,12.3,7,0,9,0,14.6,0,12.8,18.7,0,1006.3(18),3,2025-2
5783,33.6(10),8,76,0,2,,1019.7(25),8,1011.8,1008.1,9.6,27.1(31),13.7,0,0,5,22/20.0(21),12,18,,0,22,4.1(15),314,123,1,0,255.5,22,3,14,0,14.4,0,14.3,19.0,0,991.4(13),18,2025-3
5783,13.2(04),7,65,0,0,,1017.9(23),2,1014.1,1010.5,12.1,30.9(24),15.3,1,0,7,23/18.1(04),1,16,,0,11,8.1(16),307,139,0,0,43.9,15,3,14,0,18.7,0,18.1,24.1,0,1000.2(02),7,2025-4
5783,4.6(03),2,52,0,0,,1018.2(28),1,1015.2,1011.7,14.4,40.7(31),21.2,14,0,11,23/18.1(02),0,18,,0,5,10.3(11),254,146,0,0,10.5,6,0,13,0,21.7,0,22.2,29.9,0,1004.6(01),3,2025-5
5783,0.9(23),1,44,0,0,,1017.3(28),1,1015.7,1012.2,20.7,43.2(30),25.5,28,0,16,08/16.9(30),0,13,,0,2,15.0(04),267,180,0,0,1.0,1,1,12,0,27.9,0,28.7,36.7,0,1007.4(30),0,2025-6
5783,0.0(--),0,46,0,0,,1016.5(04),0,1013.8,1010.3,21.7,42.5(01),25.7,29,0,25,22/15.0(11),0,6,,0,0,17.3(22),281,202,0,0,0.0,0,0,14,0,29.0,0,29.6,37.4,0,1003.0(24),0,2025-7
5783,0.1(24),0,43,0,0,,1015.3(05),0,1013.6,1010.1,21.9,44.9(17),27.6,31,0,23,22/13.3(27),0,8,,0,1,17.5(23),273,184,0,0,0.1,1,0,12,0,31.2,0,29.9,37.9,0,1005.0(02),0,2025-8
5783,4.1(28),2,45,0,0,,1017.8(17),0,1016.4,1012.8,18.3,38.7(12),21.8,27,0,12,99/14.4(28),0,16,,0,2,12.9(23),222,157,0,0,4.2,2,0,10,0,25.1,0,26.2,34.1,0,1007.1(06),1,2025-9
