fecha,fecha_grafico,tm_max,tm_min,inso,dias_lluvia,pernoctaciones_totales
2016-10,2016-10-01,27.4,15.8,7.9,5,507455
2016-11,2016-11-01,19.5,9.9,6.6,8,380143
2016-12,2016-12-01,17.5,8.4,7.2,7,356295
2016-01,2016-01-01,17.2,9.1,5.3,9,303804
2016-02,2016-02-01,18.1,8.1,6.2,4,354605
2016-03,2016-03-01,20.1,6.7,9.4,5,437334
2016-04,2016-04-01,22.4,11.2,8.3,7,461849
2016-05,2016-05-01,26,14.1,9.7,10,473016
2016-06,2016-06-01,33.9,18.1,13.1,0,427837
2016-07,2016-07-01,37.7,21.8,12.8,0,379439
2016-08,2016-08-01,37.7,21.9,12.5,1,436374
2016-09,2016-09-01,33.7,18.5,10.9,1,478225
2017-10,2017-10-01,31.3,16.2,9.3,2,520886
2017-11,2017-11-01,22,8.8,8.1,4,427264
2017-12,2017-12-01,16.7,6.2,7,3,392591
2017-01,2017-01-01,16.4,4,8.3,2,329506
2017-02,2017-02-01,17.9,9.2,5.2,8,344305
2017-03,2017-03-01,21.3,9.4,8.1,8,417289
2017-04,2017-04-01,26.2,12.6,10.2,2,501802
2017-05,2017-05-01,28.9,15.4,10.6,4,499534
2017-06,2017-06-01,36,20,13.2,0,450421
2017-07,2017-07-01,36.5,20.2,12.9,0,395786
2017-08,2017-08-01,37.5,21.2,11.7,1,466582
2017-09,2017-09-01,33.6,17.7,10.9,0,480435
2018-10,2018-10-01,25.7,14.7,7.7,11,536328
2018-11,2018-11-01,19,10.4,5.4,12,458820
2018-12,2018-12-01,18.5,7.2,8,4,419303
2018-01,2018-01-01,16.2,6.1,6.1,6,356261
2018-02,2018-02-01,17.4,4.8,8.3,3,384575
2018-03,2018-03-01,18,9.1,6.3,17,453286
2018-04,2018-04-01,21.8,10.9,9,9,504230
2018-05,2018-05-01,25.6,13.1,9.5,3,523613
2018-06,2018-06-01,30.4,16.9,11.1,1,478235
2018-07,2018-07-01,33.3,17.9,12.8,0,428792
2018-08,2018-08-01,38,21.3,11.7,0,472616
2018-09,2018-09-01,33.8,20.2,10.4,2,511231
2019-10,2019-10-01,27.6,14,9.1,2,559653
2019-11,2019-11-01,19.2,10.3,5.3,7,467038
2019-12,2019-12-01,18.4,9.7,6.1,6,429262
2019-01,2019-01-01,17,4.2,7.6,4,394088
2019-02,2019-02-01,20.4,6,9.2,0,411930
2019-03,2019-03-01,23,8.8,9.9,1,521852
2019-04,2019-04-01,22.5,9.8,9,12,550389
2019-05,2019-05-01,30.9,14.9,12.3,0,559710
2019-06,2019-06-01,31.5,16.4,13.3,0,496857
2019-07,2019-07-01,33.8,19.8,11.8,0,449957
2019-08,2019-08-01,36.3,20.4,12.4,0,516112
2019-09,2019-09-01,32.3,18.9,9.6,1,530014
2020-10,2020-10-01,26.4,13.1,8.9,4,132970
2020-11,2020-11-01,21.7,12.4,NA,7,57748
2020-12,2020-12-01,16.2,7.5,NA,4,62371
2020-01,2020-01-01,16,6.7,5.9,6,404614
2020-02,2020-02-01,21.9,10,8.5,0,437595
2020-03,2020-03-01,21.7,10.4,8.1,7,199254
2020-04,2020-04-01,22.6,12.8,7.5,9,0
2020-05,2020-05-01,29.9,16.5,10.8,7,0
2020-06,2020-06-01,NA,NA,NA,1,0
2020-07,2020-07-01,38.6,22.8,NA,0,111779
2020-08,2020-08-01,36.6,21.1,12.5,0,130841
2020-09,2020-09-01,32.6,19.3,NA,2,123463
2021-10,2021-10-01,28.6,14.6,9,2,457081
