ano,mes,inidice_percepcion_turistica_global,pais_origen,paro,gdp,total_pernoctaciones,hotel_3_estrellas,hotel_4_estrellas,hotel_5_estrellas
2019,1,86.94,Alemania,3,275801.7109149935,394088,57.666666666666664,82,205
2019,1,63.37,Francia,8.8,195064.59145965893,394088,57.666666666666664,82,205
2019,1,87.37,Reino Unido,3.8,233121.9643529828,394088,57.666666666666664,82,205
2019,1,79.99,Suecia,6.3,40372.062420808266,394088,57.666666666666664,82,205
2019,2,76.49,Alemania,3,276227.6278625983,411930,63.333333333333336,87,204.33333333333337
2019,2,78.53,Francia,8.7,195645.17263164895,411930,63.333333333333336,87,204.33333333333337
2019,2,93.99,Reino Unido,3.7,233513.30908544356,411930,63.333333333333336,87,204.33333333333337
2019,2,88.76,Suecia,6.9,40435.51359264947,411930,63.333333333333336,87,204.33333333333337
2019,3,81.77,Alemania,3,276325.6612224081,521852,82.66666666666667,109,222
2019,3,69.82,Francia,8.7,196117.73590869212,521852,82.66666666666667,109,222
2019,3,92.77,Reino Unido,3.7,233644.12656157356,521852,82.66666666666667,109,222
2019,3,76.23,Suecia,7.4,40625.52398654226,521852,82.66666666666667,109,222
2019,4,74.51,Alemania,2.9,276095.8109944231,550389,125,155.5,306.25
2019,4,62.51,Francia,8.5,196482.28129078852,550389,125,155.5,306.25
2019,4,84.27,Reino Unido,3.7,233514.4167813731,550389,125,155.5,306.25
2019,4,72.22,Suecia,6.6,40942.09360248672,550389,125,155.5,306.25
2019,5,76.74,Alemania,2.9,276174.34019160946,559710,121.75,165,302.75
2019,5,57.13,Francia,8.5,196703.6316682213,559710,121.75,165,302.75
2019,5,85.51,Reino Unido,3.8,233658.3017502931,559710,121.75,165,302.75
2019,5,74.09,Suecia,6.6,41091.91580460779,559710,121.75,165,302.75
2019,6,79.05,Alemania,2.9,276561.24881396734,496857,89,124.25,255
2019,6,72.8,Francia,8.5,196781.78704099028,496857,89,124.25,255
2019,6,90.54,Reino Unido,3.8,234075.7814683338,496857,89,124.25,255
