ano,mes,hotel_3_estrellas,hotel_4_estrellas,hotel_5_estrellas,tm_max,tm_min,inso,dias_lluvia,holiday_count,holy_week,feria,gdp_Alemania,gdp_Francia,gdp_Reino Unido,gdp_Suecia,paro_Alemania,paro_Francia,paro_Reino Unido,paro_Suecia,total_pernoctaciones_Alemania,total_pernoctaciones_Francia,total_pernoctaciones_Reino Unido,total_pernoctaciones_Suecia,inidice_percepcion_turistica_global_Alemania,inidice_percepcion_turistica_global_Francia,inidice_percepcion_turistica_global_Reino Unido,inidice_percepcion_turistica_global_Suecia
2019,1,57.666666666666664,82,205,17,4.2,7.6,4,2,0,0,275801.7109149935,195064.59145965893,233121.9643529828,40372.062420808266,3,8.8,3.8,6.3,394088,394088,394088,394088,86.94,63.37,87.37,79.99
2019,2,63.333333333333336,87,204.33333333333337,20.4,6,9.2,0,1,0,0,276227.6278625983,195645.17263164895,233513.30908544356,40435.51359264947,3,8.7,3.7,6.9,411930,411930,411930,411930,76.49,78.53,93.99,88.76
2019,3,82.66666666666667,109,222,23,8.8,9.9,1,2,0,0,276325.6612224081,196117.73590869212,233644.12656157356,40625.52398654226,3,8.7,3.7,7.4,521852,521852,521852,521852,81.77,69.82,92.77,76.23
2019,4,125,155.5,306.25,22.5,9.8,9,12,2,1,0,276095.8109944231,196482.28129078852,233514.4167813731,40942.09360248672,2.9,8.5,3.7,6.6,550389,550389,550389,550389,74.51,62.51,84.27,72.22
2019,5,121.75,165,302.75,30.9,14.9,12.3,0,2,0,1,276174.34019160946,196703.6316682213,233658.3017502931,41091.91580460779,2.9,8.5,3.8,6.6,559710,559710,559710,559710,76.74,57.13,85.51,74.09
2019,6,89,124.25,255,31.5,16.4,13.3,0,0,0,0,276561.24881396734,196781.78704099028,234075.7814683338,41074.99059290549,2.9,8.5,3.8,6.4,496857,496857,496857,496857,79.05,72.8,90.54,75.25
2019,7,58.75,81.25,205,33.8,19.8,11.8,0,0,0,0,277256.536861497,196716.7474090958,234766.85593549503,40891.3179673798,2.9,8.4,3.8,7.3,449957,449957,449957,449957,92.83,86.66,95.15,94.33
2019,8,59,80.25,197.75,36.3,20.4,12.4,0,1,0,0,277489.7812272566,196648.85194430043,235048.40760066416,40859.311335463535,2.9,8.3,3.8,7.3,516112,516112,516112,516112,89.54,84.62,97.59,99.59
2019,9,106,143.25,292.75,32.3,18.9,9.6,1,0,0,0,277260.98191124626,196578.10064660385,234920.4364638409,40978.97069715664,2.9,8.2,3.7,6.8,530014,530014,530014,530014,80.75,75.34,92.19,87.41
2019,10,106.25,145,305.5,27.6,14,9.1,2,1,0,0,276570.1389134664,196504.49351600636,234382.94252502552,41250.296052459154,2.9,8.2,3.7,6.9,559653,559653,559653,559653,68.84,63.6,92.54,97.15
2019,11,74.25,102,234.25,19.2,10.3,5.3,7,1,0,0,276276.9239789216,195849.47159635223,234675.7121465525,41560.705351940414,3,8.2,3.7,7.7,467038,467038,467038,467038,71.07,69.93,85.6,69.61
2019,12,61.75,82,196.25,18.4,9.7,6.1,6,3,0,0,276381.33710761194,194613.0348876413,235798.74532842188,41910.19859560048,3.1,8.2,3.7,6.8,429262,429262,429262,429262,58.41,72.48,84.97,69.53333333333333
2022,1,78.5,89,239,17.2,5.8,7.9,0,2,0,0,278637.90546947333,197557.74527938597,251932.7458330492,42710.72472365859,3.3,7.3,3.72,8,272681,272681,272681,272681,89.48,74.42,86.79,80.09
2022,2,79.75,88,249.5,20.4,7.2,7.9,1,1,0,0,279120.58816894836,197568.6517798461,252145.80544844575,42649.03666716319,3.2,7.4,3.72,7.3,357150,357150,357150,357150,80.56,81.31,85.77,84.9
2022,3,90,109.5,246.25,18.6,9.6,4.9,13,2,0,0,279330.20636157814,197738.40294076788,252571.92467923855,42707.83860917822,3.2,7.4,3.72,7.7,444249,444249,444249,444249,73.56,70.08,81.67,81.65
2022,4,117.75,146.5,332.25,22,9.7,8.7,8,2,1,0,279266.7600473629,198066.9987621515,253211.1035254282,42887.13054970374,3.1,7.5,3.72,7.8,508478,508478,508478,508478,67.25,66.94,87.38,69.78
2022,5,124.5,180,392,31.2,15,11.1,3,2,0,1,279390.6034332869,198420.52364588383,254063.3419870143,42979.18062255732,3.1,7.5,3.72,7.8,528744,528744,528744,528744,75.92,70.24,82.21,59.14
2022,6,107,133.75,294.25,34.2,17.9,12.2,0,0,0,0,279701.73651934986,198798.97759196465,255128.64006399704,42983.988827738955,3.1,7.5,3.72,7.5,488732,488732,488732,488732,85.87,79.9,84.78,69.89
